#x   y   g_measured      time_elapsed   relative_height_to_base

5	 1	 7362.725        16.5	        79.92
25	 2	 7362.825        26.73	        79.89
30	 3	 7362.83         34.1           79.92
35	 4	 7362.87         44.53	        79.92
40	 5	 7362.865        48.867	        79.96
45	 6	 7362.855        54.183  	    79.94
50	 7	 7362.865        57.75	        80
55	 8	 7362.95         62.35	        80.01
60	 9	 7362.865        69	            80.03
65	10	 7362.905        74.85	        80.04
70	11	 7362.88         81.35	        80.04
75	12	 7362.925        87.75	        80.14
80	13	 7362.94         92.1667	    80.18
85	14	 7362.93	     97.65          80.17
90	15	 7362.91	     105.767        80.31
95	16	 7362.905        110.883	    80.26
100	17	 7362.895        116.116	    80.27
105	18	 7362.885        118.933	    80.45
110	19	 7362.945        121.45	        80.58
115	20	 7362.885        124.683	    80.6
120	21	 7362.9	         128.5          80.64
125	22	 7362.835        137.7667	    80.83
