# x			y		raw_g		time		rel_h		GB
1.000000 5.000000 7362.725000 16.500000 79.920000 8.098917
2.000000 25.000000 7362.825000 26.730000 79.890000 8.174172
3.000000 30.000000 7362.830000 34.100000 79.920000 8.184911
4.000000 35.000000 7362.870000 44.530000 79.920000 8.221618
5.000000 40.000000 7362.865000 48.867000 79.960000 8.225219
6.000000 45.000000 7362.855000 54.183000 79.940000 8.205379
7.000000 50.000000 7362.865000 57.750000 80.000000 8.230094
8.000000 55.000000 7362.950000 62.350000 80.010000 8.314458
9.000000 60.000000 7362.865000 69.000000 80.030000 8.232058
10.000000 65.000000 7362.905000 74.850000 80.040000 8.271514
11.000000 70.000000 7362.880000 81.350000 80.040000 8.242932
12.000000 75.000000 7362.925000 87.750000 80.140000 8.315198
13.000000 80.000000 7362.940000 92.166700 80.180000 8.338805
14.000000 85.000000 7362.930000 97.650000 80.170000 8.322063
15.000000 90.000000 7362.910000 105.767000 80.310000 8.341798
16.000000 95.000000 7362.905000 110.883000 80.260000 8.317686
17.000000 100.000000 7362.895000 116.116000 80.270000 8.307097
18.000000 105.000000 7362.885000 118.933000 80.450000 8.348784
19.000000 110.000000 7362.945000 121.450000 80.580000 8.445022
20.000000 115.000000 7362.885000 124.683000 80.600000 8.387371
21.000000 120.000000 7362.900000 128.500000 80.640000 8.410934
22.000000 125.000000 7362.835000 137.766700 80.830000 8.401181
